rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
105.59,146,28,-5.481660000000001,2988640,1,,,,,,,,,,,,
113.3,146,55,-6.968280000000001,2992736,2,0.6822551488876343,0.387255996465683,1656,1.6672836588695645,0.2,-0.014409940296900459,0.046493605,0.31634521484375,-1.413232233375311,0.0003,,
106.54,142,86,-5.792880000000001,2996832,3,0.7093658149242401,0.43728184700012207,1660,1.6043651774525642,0.2,-0.012528270439361222,0.039228253,0.3077392578125,-1.353002067655325,0.0003,,
100.13,142,114,-4.80996,3000928,4,0.6282596290111542,0.4997352063655853,1664,2.2297744508832693,0.2,-0.01606596854981035,0.041131295,0.2913818359375,-1.3839174211025238,0.0003,,
,,,,3004544,,0.6821801066398621,0.5749645233154297,1668,2.0020394967868924,0.2,-0.012129449118219782,0.044002883,0.29119873046875,-1.4078931659460068,0.0003,144.4,-13.356799999999998
107.34,130,156,-5.958480000000001,3005024,5,,,,,,,,,,,,
115.23,134,182,-7.266260000000001,3009120,6,0.767864316701889,0.3779607117176056,1672,1.6409880425781012,0.2,-0.011939314361370634,0.0496943,0.3492431640625,-1.5388197116553783,0.0003,,
108.48,137,207,-6.08756,3013216,7,0.6477407217025757,0.5350762605667114,1676,1.9154147040098906,0.2,-0.008675868906721007,0.046865568,0.29437255859375,-1.4483981914818287,0.0003,,
105.13,140,233,-5.54206,3017312,8,0.7034843266010284,0.5818535685539246,1680,2.370819851756096,0.2,-0.01214532824815251,0.041615024,0.32196044921875,-1.4289645738899708,0.0003,,
112.27,141,259,-6.604339999999999,3021408,9,0.7412362396717072,0.5090356469154358,1684,1.7864962900057435,0.2,-0.017851099553809036,0.04663215,0.33221435546875,-1.4205564949661493,0.0003,,
,,,,3024544,,0.7005459070205688,0.36322104930877686,1688,1.6675607860088348,0.2,-0.016767874119977932,0.055205025,0.343017578125,-1.4938961584120989,0.0003,145.8,-14.0016
120.39,135,301,-8.13218,3025504,10,,,,,,,,,,,,
118.8,137,327,-7.9033000000000015,3029600,11,0.5668703019618988,0.6985720992088318,1692,1.8337580803781748,0.2,-0.010244396951748058,0.03965931,0.3115234375,-1.4533121027052402,0.0003,,
115.35,139,353,-7.359,3033696,12,0.6421285271644592,0.3208727538585663,1696,1.917482609860599,0.2,-0.02131051232572645,0.048676215,0.3187255859375,-1.4684946946799755,0.0003,,
117.34,137,386,-7.79048,3037792,13,0.6825426816940308,0.5466024875640869,1700,2.1789437662810087,0.2,-0.01022416386695113,0.049352497,0.269775390625,-1.3622355610132217,0.0003,,
116.33,137,416,-7.587759999999999,3041888,14,0.6663438379764557,0.41068363189697266,1704,1.625985661521554,0.2,-0.015088872853084467,0.04354517,0.32110595703125,-1.4175741337239742,0.0003,,
,,,,3044544,,0.7463946342468262,0.5962997078895569,1708,1.9782856861129403,0.2,-0.015210341924102977,0.038406465,0.288818359375,-1.3408019803464413,0.0003,145.8,-12.4956
121.88,133,461,-8.62116,3045984,15,,,,,,,,,,,,
117.86,134,487,-8.02232,3050080,16,0.6850234270095825,0.3127155005931854,1712,1.3293014643713832,0.2,-0.014549045867170207,0.048828803,0.3463134765625,-1.431258587166667,0.0003,,
116.82,135,515,-7.794340000000001,3054176,17,0.6198684871196747,0.49661242961883545,1716,1.759486231021583,0.2,-0.015644049752154388,0.045607075,0.33624267578125,-1.5000159572809935,0.0003,,
113.41,134,549,-6.99262,3058272,18,0.659932404756546,0.9251874685287476,1720,2.3905908595770597,0.2,-0.01714091340545565,0.043474592,0.29180908203125,-1.3668264597654343,0.0003,,
106.4,132,586,-5.5249,3062368,19,0.618232786655426,0.3080677390098572,1724,1.5979986228048801,0.2,-0.01446567264792975,0.04357954,0.29913330078125,-1.3283128924667835,0.0003,,
,,,,3064544,,0.7428835928440094,0.7469450235366821,1728,2.4431524332612753,0.2,-0.015636469077435322,0.04937031,0.29937744140625,-1.2994717415422201,0.0003,76.0,-1.1220000000000006
98.38,130,628,-4.45046,3066464,20,,,,,,,,,,,,
98.91,131,656,-4.550120000000001,3070560,21,0.7313001453876495,0.625682532787323,1732,1.8958635414019227,0.2,-0.016861966607393697,0.04334072,0.293212890625,-1.3946585226804018,0.0003,,
109.47,131,683,-6.55054,3074656,22,0.6873833239078522,0.570178747177124,1736,2.189830146729946,0.2,-0.01670304664003197,0.038760882,0.2974853515625,-1.4610077887773514,0.0003,,
110.74,132,709,-6.501679999999999,3078752,23,0.706659346818924,0.5076907277107239,1740,1.8338479772210121,0.2,-0.015761005532112904,0.04984343,0.323486328125,-1.4336003977805376,0.0003,,
121.88,133,735,-8.69816,3082848,24,0.6878033578395844,0.6369868516921997,1744,2.09188880212605,0.2,-0.014894795138388872,0.0506201,0.33270263671875,-1.3463218603283167,0.0003,,
,,,,3084544,,0.71023228764534,0.33636170625686646,1748,1.5380458058789372,0.2,-0.013851698633516207,0.050886434,0.3199462890625,-1.4693508837372065,0.0003,145.6,-13.955200000000001
116.53,131,780,-7.700459999999998,3086944,25,,,,,,,,,,,,
106.11,131,808,-5.774419999999999,3091040,26,0.6282709538936615,0.488025963306427,1752,1.8265421586111188,0.2,-0.012036035463097505,0.05775287,0.3199462890625,-1.4367386829108,0.0003,,
102.95,131,839,-5.0285,3095136,27,0.6767598390579224,0.4194347560405731,1756,1.8027730816975236,0.2,-0.018893513646617066,0.12867305,0.32794189453125,-1.2205336391925812,0.0003,,
