rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance
-4.07435,144,89.35,14,1,2048,,,,,,,,,,
-5.904074999999999,13,96.575,312,2,4096,-2.1959675922989845,0.002812574,0.0003,4.621742054820061,0.2,0.0,3.0423431396484375,4,-0.0011809791758423671,0.0029712319374084473
-5.324671875,10,91.859375,589,3,6144,-2.1904353201389313,0.0029931897,0.0003,3.886697757989168,0.2,0.0,2.1706809997558594,8,-0.0016978800704237074,0.026018857955932617
-5.852647058823529,9,93.82352941176471,866,4,8192,-2.1723934188485146,0.008838408,0.0003,5.631663449108601,0.2,0.0169677734375,4.292515277862549,12,-0.00447084209008608,0.002187669277191162
-4.6272899999999995,8,88.29,1142,5,10240,-2.1399929746985435,0.00527394,0.0003,3.5455919578671455,0.2,0.014892578125,1.2282902002334595,16,-0.0006337278318824247,0.0031895041465759277
-5.219799999999999,8,89.8,1418,6,12288,-2.1191467568278313,0.005133731,0.0003,11.867327570915222,0.2,0.0223388671875,6.058084487915039,20,-0.002919477308751084,0.0027039051055908203
-5.84068,8,92.68,1692,7,14336,-2.100665904581547,0.0013206233,0.0003,2.737587656825781,0.2,0.0,0.7134719491004944,24,-0.001196186029119417,0.04957026243209839
-4.3253,8,85.3,1983,8,16384,-2.0908343121409416,0.0062488425,0.0003,2.906410664319992,0.2,0.028076171875,1.5330067873001099,28,-0.0015067382773850113,0.037226974964141846
-5.43769,8,88.69,2270,9,18432,-2.0911916568875313,0.0021171058,0.0003,9.551051795482635,0.2,0.0,5.4980244636535645,32,-0.0020402262452989817,0.07822513580322266
-4.94692,8,84.92,2556,10,20480,-2.1071865782141685,0.0022415426,0.0003,4.677731052041054,0.2,0.0,2.797191858291626,36,-0.0006859143904875964,0.26708412170410156
-5.488099999999999,7,88.1,2843,11,22528,-2.10872520506382,0.0026213261,0.0003,5.593606308102608,0.2,0.0,2.274787425994873,40,-0.0012604236253537238,0.23045635223388672
-5.853540000000001,7,89.54,3131,12,24576,-2.096194177865982,0.0041561597,0.0003,3.2919806465506554,0.2,0.0087890625,1.7031103372573853,44,-0.002787969642668031,0.3600165843963623
-6.090799999999999,7,90.8,3426,13,26624,-2.124257408082485,0.0014018293,0.0003,5.399528190493584,0.2,0.0,2.3011810779571533,48,-0.0006025973561918363,0.3184965252876282
-6.544199999999998,7,94.2,3709,14,28672,-2.1365373879671097,0.0028802087,0.0003,5.5961025059223175,0.2,0.0,2.2498748302459717,52,-0.0020696351130027324,0.3919364809989929
-6.058659999999999,7,92.66,4009,15,30720,-2.1198578402400017,0.001950103,0.0003,5.511120297014713,0.2,0.0,2.215670347213745,56,-0.0007169788586907089,0.5393373072147369
-6.7169099999999995,7,95.91,4309,16,32768,-2.0911109298467636,0.0021651979,0.0003,6.1456644386053085,0.2,0.0,2.797332763671875,60,-0.0011664040212053806,0.31049931049346924
-7.295459999999999,7,99.46,4607,17,34816,-2.103324294090271,0.0060822796,0.0003,3.2351782098412514,0.2,0.029052734375,1.7116470336914062,64,-0.0021866308379685506,0.5605941116809845
-6.67045,7,95.45,4892,18,36864,-2.1142224445939064,0.0019489763,0.0003,4.066225789487362,0.2,0.0,1.8053442239761353,68,-0.0011670228850562125,0.488311231136322
-6.68964,7,95.64,5182,19,38912,-2.0962910056114197,0.0019025684,0.0003,5.581168286502361,0.2,0.0,2.391719102859497,72,-0.0026943539560306817,0.45915746688842773
-5.182429999999999,7,89.43,5472,20,40960,-2.116763651371002,0.009440362,0.0003,7.264642655849457,0.2,0.06005859375,4.674482345581055,76,-0.0033959156135097146,0.3486040234565735
-4.94921,7,88.21,5758,21,43008,-2.129556618630886,0.0011947204,0.0003,10.366935521364212,0.2,0.0,5.693672180175781,80,-0.0011467783770058304,0.26774197816848755
-3.5297799999999997,7,81.78,6052,22,45056,-2.136156275868416,0.0013933228,0.0003,5.872924469411373,0.2,0.001220703125,3.4643449783325195,84,-0.001104553637560457,0.33112233877182007
-3.7094699999999996,7,82.47,6340,23,47104,-2.1540502458810806,0.00070951687,0.0003,11.816767752170563,0.2,0.0,6.170420169830322,88,-5.741615314036608e-05,0.28181570768356323
