time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/loss
512,22,22,0.5026250000000001,11.975,1,,,,,,,,,,
1024,217,4,-0.27140000000000003,13.48,2,4,0.2,-2.196804791688919,-0.003968513221479952,0.0010234236,0.0,0.0003,9.035515666007996,-0.007557868957519531,4.789733409881592
1536,269,5,-0.44534999999999997,14.07,3,8,0.2,-2.195108473300934,-0.0006654579192399979,0.00028405886,0.0,0.0003,3.127770349383354,0.021636486053466797,0.9715028405189514
2048,318,6,-0.8706999999999999,18.14,4,12,0.2,-2.192750722169876,-0.002475291141308844,0.00067403796,0.0,0.0003,5.466208755970001,0.0036675333976745605,3.1515064239501953
2560,369,6,-0.9950500000000001,17.21,5,16,0.2,-2.1899425089359283,-5.58637548238039e-05,0.0005800603,0.0,0.0003,1.642120137810707,0.022150099277496338,1.0432599782943726
3072,421,7,-0.8627499999999999,19.15,6,20,0.2,-2.1873342990875244,-0.00039801275124773383,0.00022479019,0.0,0.0003,4.61991274356842,0.0051642656326293945,2.11602783203125
3584,473,7,-1.07495,21.19,7,24,0.2,-2.184548169374466,-0.0012249468127265573,0.00027165655,0.0,0.0003,10.1676607131958,0.004513680934906006,4.61182165145874
4096,524,7,-0.8105,16.5,8,28,0.2,-2.182207614183426,0.0004636753583326936,0.00026925863,0.0,0.0003,5.265791118144989,0.028421640396118164,2.3052704334259033
4608,574,8,-0.9109500000000001,19.59,9,32,0.2,-2.180417239665985,-0.0005219806917011738,0.00016585982,0.0,0.0003,0.8616548478603363,0.05091440677642822,0.3988431692123413
5120,625,8,-1.25345,19.69,10,36,0.2,-2.175707846879959,-0.003954426385462284,0.0021242846,0.0,0.0003,6.408899962902069,0.01328808069229126,3.1949353218078613
5632,676,8,-1.51,20.0,11,40,0.2,-2.153991222381592,-0.0032957346993498504,0.0033184676,0.0,0.0003,4.860251367092133,0.01419377326965332,2.3975276947021484
6144,725,8,-1.0273499999999998,19.67,12,44,0.2,-2.136313021183014,-0.0021166183287277818,0.001657299,0.0,0.0003,3.2628430128097534,0.0510101318359375,1.3831226825714111
