time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,eval/mean_reward,eval/mean_ep_length
1,6103040,176,123.45,-11.296650000000001,46,,,,,,,,,,,,
2,6111232,168,123.8,-11.1568,97,0.35015869140625,0.043518346,-0.019319207211083267,0.0003,1.892463787458837,2980,-1.6892972774803638,0.2,0.560187578201294,0.47251102328300476,,
3,6119424,160,119.0,-9.753400000000001,153,0.33392333984375,0.039523695,-0.01936028365525999,0.0003,2.2220452958717942,2984,-1.6493283584713936,0.2,0.5444511771202087,0.6526263952255249,,
4,6127616,161,132.42,-12.556819999999998,203,0.361297607421875,0.045643836,-0.01906934679936967,0.0003,1.887441210448742,2988,-1.6145664816722274,0.2,0.5704707503318787,0.6487618088722229,,
5,6135808,157,132.77,-12.54187,259,0.33087158203125,0.039496668,-0.014720895378559362,0.0003,2.4428221061825752,2992,-1.6262790067121387,0.2,0.5654273927211761,0.7142511010169983,,
6,6144000,158,127.63,-11.59933,309,0.34735107421875,0.045340993,-0.021260233799694106,0.0003,1.7293526651337743,2996,-1.6481769336387515,0.2,0.6067639291286469,0.46640801429748535,,
,6144848,,,,,0.33990478515625,0.04530131,-0.016862756470800377,0.0003,2.1847456176765263,3000,-1.564986851066351,0.2,0.49305564165115356,0.5676195025444031,-10.969399999999998,131.4
7,6152192,154,119.36,-10.28836,372,,,,,,,,,,,,
8,6160384,152,111.83,-8.781030000000001,430,0.3565673828125,0.04511455,-0.0176363077989663,0.0003,2.1152370679192245,3004,-1.599789585918188,0.2,0.5730314552783966,0.857233464717865,,
9,6168576,154,123.88,-11.137880000000001,478,0.33306884765625,0.040318724,-0.016188167021027766,0.0003,2.121805876493454,3008,-1.56964894477278,0.2,0.5933872759342194,0.9663633108139038,,
10,6176768,153,127.93,-12.118129999999997,534,0.331085205078125,0.04070805,-0.01271641379025823,0.0003,2.182991174980998,3012,-1.6082065273076296,0.2,0.5616303384304047,0.626941442489624,,
11,6184960,154,122.36,-10.961060000000002,583,0.322845458984375,0.042007215,-0.01807668379478855,0.0003,2.047996229492128,3016,-1.5507132075726986,0.2,0.5721301138401031,0.7331355214118958,,
12,6193152,155,121.14,-10.464340000000002,633,0.3424072265625,0.044189118,-0.021090575839480152,0.0003,1.815584542695433,3020,-1.5545179499313235,0.2,0.6488685309886932,0.796065092086792,,
,6194848,,,,,0.343353271484375,0.04388586,-0.01914960512658581,0.0003,2.276778400875628,3024,-1.5973159885033965,0.2,0.5558800399303436,0.44723111391067505,-8.2322,100.2
13,6201344,151,122.93,-10.693230000000002,702,,,,,,,,,,,,
14,6209536,153,115.44,-10.00904,748,0.366241455078125,0.04524206,-0.01791215010234737,0.0003,1.9606566382572055,3028,-1.6493285279721022,0.2,0.6416553854942322,0.898209273815155,,
15,6217728,153,115.83,-9.561130000000002,802,0.336456298828125,0.040985033,-0.014012088769959519,0.0003,2.2001432343386114,3032,-1.675012854859233,0.2,0.535405695438385,0.7690337300300598,,
16,6225920,154,117.19,-9.521090000000001,850,0.362518310546875,0.046071403,-0.02178490936785238,0.0003,1.859586106147617,3036,-1.6668502166867256,0.2,0.5898861289024353,0.4749199151992798,,
17,6234112,155,122.98,-11.012080000000001,895,0.33868408203125,0.04546583,-0.01673427467540023,0.0003,1.8857142203487456,3040,-1.5921276435256004,0.2,0.4948289394378662,0.5907999277114868,,
18,6242304,155,137.33,-14.17513,949,0.345001220703125,0.039757323,-0.022192943113623187,0.0003,1.7817417266778648,3044,-1.6525435075163841,0.2,0.47275876998901367,0.6827854514122009,,
,6244848,,,,,0.346343994140625,0.038251422,-0.01646058428377728,0.0003,1.9824642287567258,3048,-1.671448609791696,0.2,0.36442601680755615,0.673627495765686,-7.9804,98.4
19,6250496,154,129.25,-12.324850000000001,1007,,,,,,,,,,,,
