time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,eval/mean_ep_length,eval/mean_reward
277,1,77.93,-4.5527,29,516096,,,,,,,,,,,,
246,2,80.83,-5.1587,66,524288,0.299407958984375,-1.843386434018612,0.02372861,0.0003,252,1.6810596971772611,0.6918937563896179,0.2,0.0022175346275616903,0.5849825739860535,,
,,,,,527904,0.2802734375,-1.844114076346159,0.024246996,0.0003,256,1.450254441704601,0.6426981389522552,0.2,-0.000625503667833982,0.718856930732727,100.0,-9.84
226,3,81.67,-5.134100000000001,108,532480,,,,,,,,,,,,
229,4,70.04,-2.4451999999999994,142,540672,0.30706787109375,-1.8846854595467448,0.022885432,0.0003,260,1.5630929230246693,0.6008444428443909,0.2,-0.001143411463999655,0.5046727657318115,,
,,,,,547904,0.2646484375,-1.8582741264253855,0.023386873,0.0003,264,2.0093057565391064,0.5827036499977112,0.2,-0.002300588046637131,0.5031852722167969,80.4,-5.837999999999999
224,5,79.94,-5.085100000000001,182,548864,,,,,,,,,,,,
222,6,85.54,-6.0678,221,557056,0.277130126953125,-1.8387668672949076,0.023411937,0.0003,268,1.6238261726684868,0.5735847651958466,0.2,-0.001115473198296968,0.4688992500305176,,
224,7,82.35,-5.6437,255,565248,0.2620849609375,-1.8220067340880632,0.02277951,0.0003,272,1.62977600004524,0.6528607904911041,0.2,-0.004272856556781335,0.4306586682796478,,
,,,,,567904,0.28369140625,-1.7908808421343565,0.024159087,0.0003,276,1.7372316834516823,0.5891286134719849,0.2,-0.004671908329328289,0.5060359239578247,80.4,-5.837999999999999
221,8,74.67,-3.8964000000000003,295,573440,,,,,,,,,,,,
221,9,79.34,-4.7907,333,581632,0.2906494140625,-1.803778175264597,0.023964407,0.0003,280,1.7439017929136753,0.6598829627037048,0.2,-0.0031925142648105975,0.387996107339859,,
,,,,,587904,0.261077880859375,-1.7956409426406026,0.02345375,0.0003,284,1.6045072334818542,0.7218166887760162,0.2,-0.006020414941303898,0.7605545520782471,80.4,-5.837999999999999
219,10,74.72,-4.124099999999999,373,589824,,,,,,,,,,,,
222,11,75.87,-4.2273000000000005,405,598016,0.255889892578125,-1.7523932540789247,0.023337947,0.0003,288,1.8431052202358842,0.6775816679000854,0.2,-0.007123925359337591,0.5964556932449341,,
222,12,74.02,-3.3894000000000006,442,606208,0.265838623046875,-1.8302946165204048,0.025350315,0.0003,292,1.7255610339343548,0.6659553349018097,0.2,-0.008928925151849398,0.6779364943504333,,
,,,,,607904,0.2431640625,-1.7792955972254276,0.019577434,0.0003,296,1.8869871152564883,0.7488468289375305,0.2,-0.009785978443687782,0.8844740390777588,100.0,-9.836000000000002
220,13,74.83,-3.9981999999999998,482,614400,,,,,,,,,,,,
220,14,75.63,-4.4245,520,622592,0.2750244140625,-1.7967311888933182,0.025292426,0.0003,300,1.9095100020058453,0.5908431708812714,0.2,-0.006792867829062743,0.9293165802955627,,
,,,,,627904,0.24761962890625,-1.8134943349286914,0.020917777,0.0003,304,1.5170232551172376,0.6646837592124939,0.2,-0.0070858862600289285,0.4095534682273865,60.4,-1.5719999999999998
218,15,79.13,-4.752400000000001,561,630784,,,,,,,,,,,,
220,16,70.97,-3.304699999999999,594,638976,0.2598876953125,-1.835530144162476,0.022183819,0.0003,308,1.8647583052515984,0.6514239013195038,0.2,-0.009289086079661502,0.5846613645553589,,
221,17,67.12,-2.2752,627,647168,0.251068115234375,-1.7928025359287858,0.021370918,0.0003,312,2.0427836747840047,0.6105001866817474,0.2,-0.0087954058762989,0.5309481620788574,,
,,,,,647904,0.256134033203125,-1.8149438425898552,0.021646038,0.0003,316,1.738327736966312,0.704150378704071,0.2,-0.005273565686366055,0.5392459630966187,100.0,-9.9
220,18,73.94,-3.8297,668,655360,,,,,,,,,,,,
221,19,84.63,-5.750799999999999,701,663552,0.253997802734375,-1.6690269969403744,0.023163345,0.0003,320,1.829521929845214,0.5980144143104553,0.2,-0.00896693598042475,0.9554097652435303,,
,,,,,667904,0.25823974609375,-1.700328916311264,0.022137137,0.0003,324,2.1100814482197165,0.5662102699279785,0.2,-0.008384978438698454,0.7748480439186096,80.4,-5.772
220,20,75.54,-4.1919,741,671744,,,,,,,,,,,,
222,21,69.86,-2.9933999999999994,772,679936,0.264678955078125,-1.6627819715067744,0.023994852,0.0003,328,1.9262967775575817,0.5858224630355835,0.2,-0.009026613279274898,0.8548533320426941,,
