time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/loss,train/clip_range,eval/mean_ep_length,eval/mean_reward
1,139,5095424,58,10.5,9.3559,,,,,,,,,,,,
2,141,5103616,115,10.69,9.32992,-0.021577025621809298,0.8315859329886734,2488,-0.7645751684904099,0.9094377011060715,0.0003,0.20526123046875,0.07964085,0.06521466374397278,0.2,,
3,135,5111808,180,6.21,10.241879999999998,-0.02371628691253136,0.8750544603681192,2492,-0.7583024431951344,0.9026577472686768,0.0003,0.21063232421875,0.04874258,0.09617665410041809,0.2,,
4,139,5120000,235,12.79,8.893019999999998,-0.023551325815788005,0.7778699907939881,2496,-0.7428849884308875,0.9092114493250847,0.0003,0.20928955078125,0.048197433,0.16454578936100006,0.2,,
5,136,5128192,301,10.29,9.60092,-0.018150925268855644,0.7712594261392951,2500,-0.7445406895130873,0.9039779230952263,0.0003,0.209381103515625,0.04591065,0.1954018622636795,0.2,,
6,135,5136384,362,8.62,9.773959999999999,-0.017788425990147516,0.8054439187981188,2504,-0.6593379387632012,0.9015224277973175,0.0003,0.19781494140625,0.04851647,0.07176695764064789,0.2,,
,,5137232,,,,-0.022484066230390454,0.8381216562120244,2508,-0.6367930513806641,0.9050262421369553,0.0003,0.180145263671875,0.0532653,0.08240246027708054,0.2,3.8,10.588399999999998
7,134,5144576,425,11.15,9.287799999999999,,,,,,,,,,,,
8,130,5152768,501,10.39,9.477719999999998,-0.02154437360150041,0.785158954327926,2512,-0.7110881339758635,0.9114504158496857,0.0003,0.197967529296875,0.044079125,0.11951418966054916,0.2,,
9,131,5160960,562,8.51,9.781879999999997,-0.02193086906845565,0.8469665754819289,2516,-0.7650598073378205,0.9092955514788628,0.0003,0.21484375,0.047339972,0.1601163148880005,0.2,,
10,130,5169152,627,10.61,9.34198,-0.02271843565540621,0.7925328665878624,2520,-0.6590981404297054,0.9029682576656342,0.0003,0.188812255859375,0.04209189,0.07673083245754242,0.2,,
11,131,5177344,683,10.28,9.71134,-0.02203737266609096,0.9129639321472496,2524,-0.7289348840713501,0.8975578024983406,0.0003,0.202850341796875,0.04506033,0.14655400812625885,0.2,,
12,133,5185536,738,12.11,9.07148,-0.022540355384990107,0.8237926400033757,2528,-0.7113622738979757,0.9069151133298874,0.0003,0.188507080078125,0.04098763,0.08387971669435501,0.2,,
,,5187232,,,,-0.023202181699161883,0.7743649025214836,2532,-0.6907024323008955,0.9119333177804947,0.0003,0.195648193359375,0.046877157,0.05606608837842941,0.2,4.4,10.5332
13,132,5193728,803,12.3,9.176499999999999,,,,,,,,,,,,
14,132,5201920,867,9.52,9.57216,-0.022120521978649776,0.9078780910931528,2536,-0.7232701038010418,0.8861382305622101,0.0003,0.21954345703125,0.07118773,0.12482921779155731,0.2,,
15,131,5210112,935,8.91,9.73838,-0.020960825313522946,0.9272129706805572,2540,-0.740887563675642,0.8751327022910118,0.0003,0.204681396484375,0.046619546,0.0999583750963211,0.2,,
16,131,5218304,996,8.25,10.031099999999999,-0.0240499847495812,0.8208778608823195,2544,-0.7498908913694322,0.8986257463693619,0.0003,0.21197509765625,0.043623634,0.14350561797618866,0.2,,
17,132,5226496,1054,8.68,9.769340000000001,-0.020035266905324534,0.7356386319734156,2548,-0.5943808294832706,0.8634016215801239,0.0003,0.176239013671875,0.042877838,0.0728679746389389,0.2,,
18,131,5234688,1120,13.17,8.849759999999998,-0.024444995338853914,0.8365901166107506,2552,-0.7475035088136792,0.89985191822052,0.0003,0.21185302734375,0.052209307,0.09915421903133392,0.2,,
,,5237232,,,,-0.025063014691113494,0.9252645884407684,2556,-0.8663785578683019,0.9032597839832306,0.0003,0.241058349609375,0.049017567,0.16305646300315857,0.2,6.4,10.3292
19,131,5242880,1180,10.79,9.31762,,,,,,,,,,,,
20,131,5251072,1247,10.57,9.34936,-0.023150120690843323,0.8005628107348457,2560,-0.6955432817339897,0.8933369368314743,0.0003,0.20745849609375,0.057952248,0.10665607452392578,0.2,,
21,131,5259264,1306,6.93,10.058440000000001,-0.01921916878927732,0.8235891200602055,2564,-0.7246485725045204,0.9041058719158173,0.0003,0.2071533203125,0.04386452,0.06231429800391197,0.2,,
22,131,5267456,1375,9.88,9.53064,-0.018760771679808386,0.8087275590514764,2568,-0.6924928282387555,0.9002740681171417,0.0003,0.204925537109375,0.047635768,0.04740538075566292,0.2,,
23,130,5275648,1440,8.19,9.81992,-0.022373326457454823,0.8774670619750395,2572,-0.6501816189847887,0.8839453980326653,0.0003,0.1884765625,0.044435173,0.04735931009054184,0.2,,
24,130,5283840,1504,9.79,9.53592,-0.022387959266779944,0.7247107442235574,2576,-0.6647128835320473,0.9028927311301231,0.0003,0.193023681640625,0.04923664,0.12738066911697388,0.2,,
,,5287232,,,,-0.02286341205035569,0.8568318829638883,2580,-0.7080875635147095,0.8979306221008301,0.0003,0.203948974609375,0.04555676,0.10629826039075851,0.2,5.2,10.4516
25,129,5292032,1577,9.78,9.54474,,,,,,,,,,,,
