time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/clip_range,train/approx_kl,train/n_updates
1,41,8192,197,-5.951976744186047,91.30232558139535,,,,,,,,,,
2,91,16384,178,-6.153299999999999,94.0,0.081451416015625,0.0003,0.00018959108092531096,5.938311764970422,0.011749744,-2.19001835398376,2.0143353939056396,0.2,0.0061574085,4
3,150,24576,163,-6.3151,94.56,0.04937744140625,0.0003,-0.000495140742714284,3.9413178469985723,0.0,-2.187284665182233,1.5096200704574585,0.2,0.008205699,8
4,199,32768,164,-5.8373,90.93,0.035003662109375,0.0003,-0.00035275133996037766,4.742844093590975,-1.1920929e-07,-2.181098248809576,2.772233486175537,0.2,0.006471391,12
5,258,40960,158,-4.924600000000001,86.26,0.0673828125,0.0003,-0.001725849917420419,5.34589440189302,0.0,-2.1552839931100607,1.7413924932479858,0.2,0.009385273,16
6,309,49152,158,-6.348499999999999,92.7,0.048858642578125,0.0003,-0.000938821893214481,6.553059881553054,-1.1920929e-07,-2.1428672689944506,2.3898673057556152,0.2,0.009490183,20
7,360,57344,159,-5.1094,88.18,0.09716796875,0.0003,-0.002880187401387957,5.7581627164036036,0.0,-2.12480984441936,2.59385085105896,0.2,0.011399945,24
8,419,65536,156,-5.8199000000000005,91.76,0.05615234375,0.0003,-0.0014617219130741432,7.369724955409765,-1.1920929e-07,-2.146420808508992,3.5150306224823,0.2,0.0055061737,28
9,469,73728,157,-5.063199999999999,87.61,0.0496826171875,0.0003,-0.0005432020661828574,6.413098214194179,0.0,-2.13784914650023,2.3836591243743896,0.2,0.0055256113,32
10,529,81920,154,-4.2499,84.0,0.06103515625,0.0003,-0.0008751160312385764,6.906689368188381,0.0,-2.1172904931008816,3.0509352684020996,0.2,0.0103357425,36
11,583,90112,154,-6.284,92.93,0.054443359375,0.0003,-0.0014584205200662836,8.29747961834073,0.0,-2.125819453969598,6.242509365081787,0.2,0.0073362533,40
12,636,98304,154,-6.192599999999999,92.1,0.05767822265625,0.0003,-0.0016496141906827688,5.7638553362339735,0.0,-2.1012388858944178,2.3486905097961426,0.2,0.007644972,44
