rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance
120.0,89,8192,1,-13.04625,91,,,,,,,,,,
120.0,78,16384,2,-13.2528,208,-2.1886311434209347,0.092987060546875,0.12422563880681992,-0.0015498297834710684,0.2,0.011057733,2.217746665235609,0.0003,4,0.108727396
120.0,72,24576,3,-13.188999999999998,340,-2.185826737433672,0.0479736328125,0.29960453510284424,-0.0014585280769097153,0.2,0.009430958,0.7646362169180065,0.0003,8,5.9604645e-08
120.0,70,32768,4,-13.313000000000002,467,-2.173358142375946,0.04486083984375,0.5414097905158997,-0.0016622790863038972,0.2,0.008228831,1.1369504895992577,0.0003,12,0.0
120.0,68,40960,5,-13.204499999999998,598,-2.177501505240798,0.035614013671875,0.9726837277412415,-0.000825170498501393,0.2,0.00473277,1.8729299418628216,0.0003,16,0.0
120.0,68,49152,6,-12.954900000000002,713,-2.150464227423072,0.062774658203125,1.1877869367599487,-0.0017915076277859043,0.2,0.005653918,2.0975781427696347,0.0003,20,0.0
120.0,70,57344,7,-13.030999999999999,807,-2.1530769746750593,0.029754638671875,1.2308951616287231,-0.0002604886030894704,0.2,0.0066521894,2.646191032603383,0.0003,24,0.0
120.0,69,65536,8,-12.7367,940,-2.1408174578100443,0.04205322265625,1.4205780029296875,-0.0016269464831566438,0.2,0.010290837,2.8080875147134066,0.0003,28,-1.1920929e-07
118.7,69,73728,9,-12.6557,1066,-2.1353376619517803,0.0635986328125,1.6687583923339844,-0.0020723912239191122,0.2,0.008217769,3.3133578412234783,0.0003,32,-1.1920929e-07
120.0,66,81920,10,-13.014200000000002,1240,-2.113549428060651,0.037261962890625,1.7346954345703125,-0.0005388447443692712,0.2,0.0070510064,3.871431225910783,0.0003,36,-1.1920929e-07
120.0,63,90112,11,-12.884000000000004,1414,-2.1271561607718468,0.045989990234375,1.562914490699768,-0.0017723095770634245,0.2,0.008391814,3.476696202531457,0.0003,40,-1.1920929e-07
120.0,62,98304,12,-12.821899999999998,1567,-2.116898898035288,0.01263427734375,1.9059967994689941,-0.00023002525995252654,0.2,0.005094932,3.5057973600924015,0.0003,44,0.0
120.0,61,106496,13,-12.7643,1719,-2.1121652871370316,0.0758056640625,1.6620991230010986,-0.00426858971331967,0.2,0.010071773,3.8032445050776005,0.0003,48,-1.1920929e-07
120.0,61,114688,14,-12.970900000000004,1852,-2.1113225743174553,0.0482177734375,2.048978090286255,-0.002300146203197073,0.2,0.010529697,3.6611375641077757,0.0003,52,0.0
120.0,61,122880,15,-13.0324,1993,-2.1056131422519684,0.041046142578125,1.9477678537368774,-0.0009342319244751707,0.2,0.0061411792,3.9957238472998142,0.0003,56,1.1920929e-07
120.0,61,131072,16,-13.0512,2121,-2.0881953109055758,0.019989013671875,2.1507208347320557,8.029464515857399e-05,0.2,0.0053195227,4.118617368862033,0.0003,60,0.0
120.0,61,139264,17,-13.0793,2254,-2.087043298408389,0.07110595703125,1.7671637535095215,-0.003565480059478432,0.2,0.010844054,3.9047534447163343,0.0003,64,0.0
120.0,61,147456,18,-12.822899999999999,2410,-2.089326975867152,0.03033447265625,1.921701431274414,-0.0009907989151543006,0.2,0.008045226,4.2337972447276115,0.0003,68,0.0
120.0,61,155648,19,-12.856200000000001,2544,-2.096733193844557,0.05438232421875,1.980119228363037,-0.001747829890518915,0.2,0.012969686,4.032325595617294,0.0003,72,0.0
120.0,60,163840,20,-12.9298,2693,-2.051100928336382,0.046356201171875,2.230560541152954,-0.0017327233363175765,0.2,0.0090772435,4.313132533803582,0.0003,76,0.0
120.0,60,172032,21,-13.058100000000001,2866,-2.038867002353072,0.012969970703125,2.319061279296875,-0.0001268259293283336,0.2,0.0058169365,4.045818513259292,0.0003,80,1.1920929e-07
120.0,59,180224,22,-13.024899999999995,3009,-2.066039986908436,0.03955078125,2.5143964290618896,-0.0013750140460615512,0.2,0.009757802,4.329750336706638,0.0003,84,-1.1920929e-07
119.17,59,188416,23,-12.917199999999996,3166,-2.0814954303205013,0.04296875,1.7190748453140259,-0.001941854352480732,0.2,0.00867584,4.022808583453298,0.0003,88,0.0
119.17,59,196608,24,-12.708899999999998,3290,-2.071202291175723,0.03472900390625,2.8794212341308594,-0.000502186387166148,0.2,0.005860995,4.56266375631094,0.0003,92,0.0
120.0,59,204800,25,-12.9916,3447,-2.0885915774852037,0.066162109375,2.1700973510742188,-0.0023191369837149978,0.2,0.006320481,4.107844073325396,0.0003,96,0.0
120.0,59,212992,26,-13.1743,3609,-2.0857983492314816,0.037933349609375,1.8038884401321411,-0.0008886288414942101,0.2,0.008495602,4.218851050361991,0.0003,100,1.1920929e-07
120.0,58,221184,27,-12.906899999999998,3753,-2.0733776204288006,0.042633056640625,2.0924179553985596,-0.0011492635749164037,0.2,0.006888699,3.976268071681261,0.0003,104,0.0
119.43,58,229376,28,-12.800500000000001,3908,-2.0738216284662485,0.04315185546875,1.8852776288986206,-0.0016604060583631508,0.2,0.008822239,4.197584398090839,0.0003,108,0.0
119.43,58,237568,29,-12.996999999999998,4059,-2.071531919762492,0.047821044921875,1.9855369329452515,-0.0027448494838608894,0.2,0.011960512,4.456709491088986,0.0003,112,0.0
120.0,58,245760,30,-12.9678,4233,-2.061864700168371,0.096893310546875,2.1380016803741455,-0.004260578549292404,0.2,0.010618129,4.281164962798357,0.0003,116,0.0
120.0,58,253952,31,-13.0353,4368,-2.045475719496608,0.063446044921875,2.2734196186065674,-0.0027634189573291223,0.2,0.012731776,4.406667498871684,0.0003,120,-1.1920929e-07
120.0,58,262144,32,-13.250700000000002,4511,-2.0545305367559195,0.031982421875,1.6705483198165894,-0.0005647012694680598,0.2,0.006528734,4.11418572627008,0.0003,124,0.0
120.0,58,270336,33,-13.1195,4656,-2.024984313175082,0.04754638671875,2.3539576530456543,1.5296558558475226e-05,0.2,0.007776495,4.260843398049474,0.0003,128,1.1920929e-07
118.96,57,278528,34,-12.895199999999997,4816,-2.051598481833935,0.0694580078125,2.2315378189086914,-0.0008054879581322894,0.2,0.007464961,4.054793147370219,0.0003,132,0.0
117.88,57,286720,35,-12.576700000000002,5015,-2.0354986414313316,0.056854248046875,2.1531929969787598,-0.0019836641768051777,0.2,0.010970967,4.643094947561622,0.0003,136,-2.3841858e-07
120.0,57,294912,36,-13.247,5170,-2.028954863548279,0.062896728515625,1.9434927701950073,-0.001781545997801004,0.2,0.007643368,4.518965674564242,0.0003,140,0.0
119.06,56,303104,37,-12.966600000000003,5346,-2.0178401302546263,0.028778076171875,1.9377723932266235,0.00023686089480179362,0.2,0.0044815084,4.410474004223943,0.0003,144,2.3841858e-07
